new entry "Metamagic_Maximized"
type "PassiveData"
data "DisplayName" "0287fd8d-84da-4799-a59f-a6b5d75aa7f0;1"
data "Description" "f29e1f76-9c88-4dee-9923-81e924388937;1"
data "DescriptionParams" "1"
data "Icon" "PassiveFeature_Generic_Tactical"
data "EnabledConditions" "HasActionResource('SorceryPoint', 1, 0, false, false, context.Source)"
data "EnabledContext" "OnCastResolved;OnLongRest;OnActionResourcesChanged"
data "Properties" "IsToggled;ToggledDefaultAddToHotbar;MetaMagic"
data "Boosts" "IF(IsCantrip() or IsSpell()):MinimumRollResult(Damage,20);UnlockSpellVariant(EmpoweredSpellCheck(),ModifyUseCosts(Add,SorceryPoint,SpellPowerLevel,0),ModifyTooltipDescription(),ModifyIconGlow())"
data "ToggleOnEffect" "VFX_Spells_Cast_Sorcerer_Metamagic_Empowered_HeadFX_01:Dummy_HeadFX"
data "ToggleOffContext" "OnCastResolved"
data "ToggleGroup" "Metamagic"
